Liga,Saison,Team,Marktwert,Platzierung,Punkte
Bundesliga,2016,Eintracht Frankfurt,72300000,11 ,42
Bundesliga,2016,FC Augsburg,65850000,13 ,38
Bundesliga,2016,FC Ingolstadt 04,38630000,17 ,32
Bundesliga,2016,SV Darmstadt 98,25980000,18 ,25
Bundesliga,2017,FC Bayern München,811850000,1 ,84
Bundesliga,2017,Borussia Dortmund,574200000,4 ,55
Bundesliga,2017,RasenBallsport Leipzig,373300000,6 ,53
Bundesliga,2017,Bayer 04 Leverkusen,357350000,5 ,55
Bundesliga,2017,FC Schalke 04,274350000,2 ,63
Bundesliga,2017,TSG 1899 Hoffenheim,212750000,3 ,55
Bundesliga,2017,Borussia Mönchengladbach,193250000,9 ,47
Bundesliga,2017,VfL Wolfsburg,143600000,16 ,33
Bundesliga,2017,VfB Stuttgart,134700000,7 ,51
Bundesliga,2017,Hertha BSC,131450000,10 ,43
Bundesliga,2017,Eintracht Frankfurt,126150000,8 ,49
Bundesliga,2017,SV Werder Bremen,107150000,11 ,42
Bundesliga,2017,SC Freiburg,100600000,15 ,36
Bundesliga,2017,FC Augsburg,100450000,12 ,41
Bundesliga,2017,1.FSV Mainz 05,98350000,14 ,36
Bundesliga,2017,Hannover 96,92950000,13 ,39
Bundesliga,2017,1.FC Köln,91730000,18 ,22
Bundesliga,2017,Hamburger SV,62400000,17 ,31
Bundesliga,2018,FC Bayern München,784880000,1 ,78
Bundesliga,2018,Borussia Dortmund,643250000,2 ,76
Bundesliga,2018,RasenBallsport Leipzig,479000000,3 ,66
Bundesliga,2018,Bayer 04 Leverkusen,429400000,4 ,58
Bundesliga,2018,TSG 1899 Hoffenheim,336250000,9 ,51
Bundesliga,2018,Eintracht Frankfurt,313400000,7 ,54
Bundesliga,2018,Borussia Mönchengladbach,264300000,5 ,55
Bundesliga,2018,VfL Wolfsburg,229250000,6 ,55
Bundesliga,2018,FC Schalke 04,221300000,14 ,33
Bundesliga,2018,Hertha BSC,207630000,11 ,43
Bundesliga,2018,SV Werder Bremen,168050000,8 ,53
Bundesliga,2018,1.FSV Mainz 05,159730000,12 ,43
Bundesliga,2018,VfB Stuttgart,143750000,16 ,28
Bundesliga,2018,FC Augsburg,139250000,15 ,32
Bundesliga,2018,SC Freiburg,122100000,13 ,36
Bundesliga,2018,Fortuna Düsseldorf,94950000,10 ,44
Bundesliga,2018,Hannover 96,91430000,17 ,21
Bundesliga,2018,1.FC Nürnberg,54400000,18 ,19
Bundesliga,2019,FC Bayern München,777330000,1 ,82
Bundesliga,2019,Borussia Dortmund,654050000,2 ,69
Bundesliga,2019,RasenBallsport Leipzig,570480000,3 ,66
Bundesliga,2019,Bayer 04 Leverkusen,398950000,5 ,63
Bundesliga,2019,Borussia Mönchengladbach,254700000,4 ,65
Bundesliga,2019,TSG 1899 Hoffenheim,226050000,6 ,52
Bundesliga,2019,FC Schalke 04,221580000,12 ,39
Bundesliga,2019,Hertha BSC,217200000,10 ,41
Bundesliga,2019,Eintracht Frankfurt,208980000,9 ,45
Bundesliga,2019,VfL Wolfsburg,207600000,7 ,49
Bundesliga,2019,SV Werder Bremen,135130000,16 ,31
Bundesliga,2019,SC Freiburg,122650000,8 ,48
Bundesliga,2019,1.FSV Mainz 05,121580000,13 ,37
Bundesliga,2019,FC Augsburg,112950000,15 ,36
Bundesliga,2019,1.FC Köln,98480000,14 ,36
Bundesliga,2019,Fortuna Düsseldorf,71780000,17 ,30
Bundesliga,2019,1.FC Union Berlin,41200000,11 ,41
Bundesliga,2019,SC Paderborn 07,28900000,18 ,20
Bundesliga,2020,FC Bayern München,858230000,1 ,78
Bundesliga,2020,Borussia Dortmund,628400000,3 ,64
Bundesliga,2020,RasenBallsport Leipzig,574950000,2 ,65
Bundesliga,2020,Bayer 04 Leverkusen,373250000,6 ,52
Bundesliga,2020,Borussia Mönchengladbach,300750000,8 ,49
Bundesliga,2020,Eintracht Frankfurt,269150000,5 ,60
Bundesliga,2020,VfL Wolfsburg,256830000,4 ,61
Bundesliga,2020,Hertha BSC,228880000,14 ,35
Bundesliga,2020,TSG 1899 Hoffenheim,228150000,11 ,43
Bundesliga,2020,VfB Stuttgart,189250000,9 ,45
Bundesliga,2020,1.FSV Mainz 05,163300000,12 ,39
Bundesliga,2020,SC Freiburg,139100000,10 ,45
Bundesliga,2020,FC Schalke 04,123050000,18 ,16
Bundesliga,2020,1.FC Köln,118200000,16 ,33
Bundesliga,2020,SV Werder Bremen,111980000,17 ,31
Bundesliga,2020,FC Augsburg,93050000,13 ,36
Bundesliga,2020,1.FC Union Berlin,82050000,7 ,50
Bundesliga,2020,Arminia Bielefeld,56730000,15 ,35
Bundesliga,2021,FC Bayern München,790330000,1 ,77
Bundesliga,2021,Borussia Dortmund,558980000,2 ,69
Bundesliga,2021,RasenBallsport Leipzig,498950000,4 ,58
Bundesliga,2021,Bayer 04 Leverkusen,455050000,3 ,64
Bundesliga,2021,VfL Wolfsburg,269300000,12 ,42
Bundesliga,2021,Borussia Mönchengladbach,236800000,10 ,45
Bundesliga,2021,Eintracht Frankfurt,228750000,11 ,42
Bundesliga,2021,TSG 1899 Hoffenheim,211430000,9 ,46
Bundesliga,2021,SC Freiburg,176350000,6 ,55
Bundesliga,2021,VfB Stuttgart,174230000,15 ,33
Bundesliga,2021,Hertha BSC,155730000,16 ,33
Bundesliga,2021,1.FSV Mainz 05,131030000,8 ,46
Bundesliga,2021,1.FC Union Berlin,115900000,5 ,57
Bundesliga,2021,1.FC Köln,99280000,7 ,52
Bundesliga,2021,FC Augsburg,95300000,14 ,38
Bundesliga,2021,Arminia Bielefeld,65850000,17 ,28
Bundesliga,2021,VfL Bochum,52250000,13 ,42
Bundesliga,2021,SpVgg Greuther Fürth,36950000,18 ,18
Premier-league,2011,Manchester City,498600000,1 ,89
Premier-league,2011,Manchester United,404100000,2 ,89
Premier-league,2011,FC Chelsea,375500000,6 ,64
Premier-league,2011,FC Arsenal,362430000,3 ,70
