Liga,Saison,Team,Marktwert,Platzierung,Punkte
2. Bundesliga,2015,1.FC Union Berlin,18700000,6 ,49
2. Bundesliga,2015,Fortuna Düsseldorf,18300000,14 ,35
2. Bundesliga,2015,SC Paderborn 07,17950000,18 ,28
2. Bundesliga,2015,TSV 1860 München,17130000,15 ,34
2. Bundesliga,2015,SpVgg Greuther Fürth,16000000,9 ,46
2. Bundesliga,2015,VfL Bochum,15800000,5 ,51
2. Bundesliga,2015,FSV Frankfurt,14450000,17 ,32
2. Bundesliga,2015,1.FC Heidenheim 1846,13650000,11 ,45
2. Bundesliga,2015,Arminia Bielefeld,13180000,12 ,42
2. Bundesliga,2015,SV Sandhausen,12900000,13 ,40
2. Bundesliga,2015,MSV Duisburg,11480000,16 ,32
2. Bundesliga,2016,VfB Stuttgart,50900000,1 ,69
2. Bundesliga,2016,Hannover 96,39180000,2 ,67
2. Bundesliga,2016,1.FC Nürnberg,26480000,12 ,42
2. Bundesliga,2016,1.FC Union Berlin,21700000,4 ,60
2. Bundesliga,2016,1.FC Kaiserslautern,21000000,13 ,41
2. Bundesliga,2016,Eintracht Braunschweig,19950000,3 ,66
2. Bundesliga,2016,FC St. Pauli,18050000,7 ,45
2. Bundesliga,2016,SpVgg Greuther Fürth,17650000,8 ,45
2. Bundesliga,2016,VfL Bochum,16150000,9 ,44
2. Bundesliga,2016,TSV 1860 München,16100000,16 ,36
2. Bundesliga,2016,SG Dynamo Dresden,15880000,5 ,50
2. Bundesliga,2016,Fortuna Düsseldorf,15230000,11 ,42
2. Bundesliga,2016,1.FC Heidenheim 1846,14930000,6 ,46
2. Bundesliga,2016,Arminia Bielefeld,14530000,15 ,37
2. Bundesliga,2016,Karlsruher SC,13430000,18 ,25
2. Bundesliga,2016,SV Sandhausen,12030000,10 ,42
2. Bundesliga,2016,FC Erzgebirge Aue,11680000,14 ,39
2. Bundesliga,2016,Würzburger Kickers,10180000,17 ,34
2. Bundesliga,2017,Fortuna Düsseldorf,37280000,1 ,63
2. Bundesliga,2017,FC Ingolstadt 04,34330000,9 ,45
2. Bundesliga,2017,1.FC Nürnberg,33200000,2 ,60
2. Bundesliga,2017,1.FC Union Berlin,23150000,8 ,47
2. Bundesliga,2017,1.FC Kaiserslautern,21630000,18 ,35
2. Bundesliga,2017,VfL Bochum,20300000,6 ,48
2. Bundesliga,2017,SG Dynamo Dresden,19250000,14 ,41
2. Bundesliga,2017,Eintracht Braunschweig,18380000,17 ,39
2. Bundesliga,2017,Holstein Kiel,18150000,3 ,56
2. Bundesliga,2017,Arminia Bielefeld,18000000,4 ,48
2. Bundesliga,2017,FC St. Pauli,17880000,12 ,43
2. Bundesliga,2017,SV Darmstadt 98,17850000,10 ,43
2. Bundesliga,2017,SpVgg Greuther Fürth,16650000,15 ,40
2. Bundesliga,2017,SV Sandhausen,16000000,11 ,43
2. Bundesliga,2017,1.FC Heidenheim 1846,14480000,13 ,42
2. Bundesliga,2017,FC Erzgebirge Aue,13280000,16 ,40
2. Bundesliga,2017,MSV Duisburg,13100000,7 ,48
2. Bundesliga,2017,SSV Jahn Regensburg,12400000,5 ,48
2. Bundesliga,2018,Hamburger SV,86850000,4 ,56
